SiteName,County,AQI,Pollutant,Status,SO2,CO,O3,O3_8hr,PM10,PM2.5,NO2,NOx,NO,WindSpeed,WindDirec,DataCreationDate,Unit,CO_8hr,PM2.5_AVG,PM10_AVG,SO2_AVG,Longitude,Latitude,SiteId
萬華,臺北市,83,細懸浮微粒,普通,10.6,1.17,15.6,27.0,68.0,44.0,48.8,52.2,3.3,0.6,290,2021-01-31 23:00,nan,0.7,28.0,44,3.0,121.507972,25.046503,13
萬華,臺北市,68,細懸浮微粒,普通,7.8,1.06,24.3,31.0,61.0,43.0,42.4,45.0,2.5,0.7,284,2021-01-31 22:00,nan,0.6,22.0,36,2.0,121.507972,25.046503,13
萬華,臺北市,64,二氧化氮,普通,8.4,1.17,14.3,33.0,60.0,42.0,49.0,53.5,4.5,1.2,293,2021-01-31 21:00,nan,0.5,17.0,30,2.0,121.507972,25.046503,13
萬華,臺北市,39,nan,良好,2.5,0.47,26.3,37.0,21.0,11.0,22.0,24.8,2.7,0.9,211,2021-01-31 20:00,nan,0.5,12.0,23,2.0,121.507972,25.046503,13
萬華,臺北市,43,nan,良好,2.4,0.44,25.4,39.0,24.0,8.0,22.7,26.9,4.1,1.2,109,2021-01-31 19:00,nan,0.5,13.0,25,2.0,121.507972,25.046503,13
萬華,臺北市,48,nan,良好,2.4,0.39,30.0,40.0,22.0,10.0,19.1,22.9,3.7,1.3,93,2021-01-31 18:00,nan,0.5,15.0,26,2.0,121.507972,25.046503,13
萬華,臺北市,52,細懸浮微粒,普通,2.7,0.39,37.7,38.0,23.0,12.0,16.5,20.2,3.7,1.9,119,2021-01-31 17:00,nan,0.5,16.0,27,2.0,121.507972,25.046503,13
萬華,臺北市,53,細懸浮微粒,普通,3.8,0.68,43.6,35.0,40.0,21.0,27.4,32.7,5.3,1.3,39,2021-01-31 16:00,nan,0.6,16.0,27,1.0,121.507972,25.046503,13
萬華,臺北市,51,細懸浮微粒,普通,3.5,0.6,47.4,31.0,36.0,19.0,21.5,27.0,5.4,1.3,286,2021-01-31 15:00,nan,0.5,16.0,24,1.0,121.507972,25.046503,13
萬華,臺北市,45,nan,良好,3.6,0.59,46.8,28.0,32.0,20.0,21.2,26.9,5.6,1.3,295,2021-01-31 14:00,nan,0.5,14.0,21,1.0,121.507972,25.046503,13
萬華,臺北市,41,nan,良好,3.2,0.6,42.5,25.0,25.0,16.0,21.3,28.5,7.1,2.2,274,2021-01-31 13:00,nan,0.5,13.0,19,1.0,121.507972,25.046503,13
萬華,臺北市,38,nan,良好,2.4,0.56,42.4,22.0,21.0,19.0,19.2,26.2,6.9,1.8,271,2021-01-31 12:00,nan,0.4,12.0,17,1.0,121.507972,25.046503,13
萬華,臺北市,33,nan,良好,2.6,0.54,30.0,20.0,18.0,9.0,20.5,30.4,9.8,1,274,2021-01-31 11:00,nan,0.4,10.0,16,1.0,121.507972,25.046503,13
萬華,臺北市,47,nan,良好,2.5,0.73,17.7,19.0,25.0,13.0,28.8,48.9,20.0,1.1,100,2021-01-31 10:00,nan,0.4,10.0,16,1.0,121.507972,25.046503,13
萬華,臺北市,38,nan,良好,nan,0.55,15.2,21.0,12.0,10.0,23.4,40.1,16.7,0.8,251,2021-01-31 09:00,nan,0.4,10.0,14,1.0,121.507972,25.046503,13
萬華,臺北市,35,nan,良好,1.9,0.46,11.6,22.0,14.0,9.0,21.8,33.4,11.5,0.8,76,2021-01-31 08:00,nan,0.3,10.0,16,1.0,121.507972,25.046503,13
萬華,臺北市,32,nan,良好,1.8,0.35,18.5,24.0,15.0,10.0,12.0,14.9,2.9,0.8,148,2021-01-31 07:00,nan,0.3,10.0,16,1.0,121.507972,25.046503,13
